vx(m/s),vy(m/s),yaw_rate(rad/s),steering(rad),throttle(%),brake(%)
11.01691151,-0.01194719,-0.00905641,-0.0030638291481619685,0.37299722,0.0
11.04880142,-0.01182416,-0.00896998,-0.003351063103756762,0.38094729,0.0
11.06602097,-0.01179294,-0.00893124,-0.0036861695655866296,0.39681691,0.0
11.10262394,-0.01267634,-0.00962433,-0.003997339557935829,0.41268656,0.0
11.1425066,-0.01386748,-0.01056621,-0.004428190599509585,0.42458877,0.0
11.1857481,-0.01479476,-0.01139016,-0.004499999142499066,0.43649098,0.0
11.2085886,-0.01508677,-0.01162388,-0.004499999142499066,0.44045839,0.0
11.25649738,-0.016984,-0.01308726,-0.004499999142499066,0.44045839,0.0
11.28156567,-0.01738643,-0.01338467,-0.004499999142499066,0.44045839,0.0
11.28156567,-0.01738643,-0.01338467,-0.004499999142499066,0.44045839,0.0
11.33330917,-0.01789818,-0.01363442,-0.004499999142499066,0.44045839,0.0
11.38649082,-0.01814654,-0.01373602,-0.004428190599509585,0.44442579,0.0
11.38649082,-0.01814654,-0.01373602,-0.004428190599509585,0.44442579,0.0
11.44054317,-0.01824403,-0.01380642,-0.003997339557935829,0.44442579,0.0
11.46785545,-0.0182584,-0.01383993,-0.0033749991405111687,0.44442579,0.0
11.52293491,-0.01724417,-0.01320034,-0.002609042069833807,0.44442579,0.0
11.55062866,-0.01698739,-0.01280966,-0.0019388293625372025,0.44442579,0.0
11.63403416,-0.01278086,-0.00930697,-0.0013643614513476159,0.44442579,0.0
11.66188431,-0.01210753,-0.00884064,-0.0013643614513476159,0.44442579,0.0
11.68973923,-0.01013022,-0.00762859,-0.0013643614513476159,0.44442579,0.0
11.71759033,-0.00826042,-0.00613265,-0.0013643614513476159,0.44442579,0.0
11.7732563,-0.00665236,-0.00485178,-0.0013643614513476159,0.44442579,0.0
11.80106163,-0.00613624,-0.0046248,-0.0013643614513476159,0.44442579,0.0
11.82884598,-0.0058351,-0.00453508,-0.0013643614513476159,0.44442579,0.0
